Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),predicted_risk,pred_high_risk_prob,actual_risk_category
"Scientist, water quality",Transportation,Increasing,Low,74169.0,PhD,1,9580,4797,28.02,57.44,Australia,69.72,2,0.4375281849726567,1
Psychiatric nurse,Education,Increasing,High,44707.17,Master’s Degree,20,7833,1753,7.59,85.12,China,36.04,2,0.43750660438687194,2
Fine artist,Education,Increasing,Moderate,137231.39,High School,13,9405,794,48.6,2.46,India,57.56,2,0.43749720591743224,0
Town planner,Finance,Increasing,Low,118382.95,PhD,13,5368,8414,17.13,38.64,India,74.34,2,0.43749533158455917,1
Social worker,Entertainment,Increasing,Moderate,135681.22,Bachelor’s Degree,14,5196,8772,61.27,57.43,China,21.4,2,0.4374841524431533,1
Records manager,Manufacturing,Decreasing,High,68891.88,Associate Degree,13,7472,8438,64.78,89.82,Australia,40.33,2,0.437467705310982,2
Investment analyst,Education,Decreasing,Moderate,43407.35,High School,15,3238,4150,51.74,32.79,Brazil,67.7,2,0.43744960601279437,1
Ophthalmologist,Finance,Increasing,Low,50413.12,PhD,10,3410,3948,90.81,93.61,Brazil,67.14,2,0.43742590137651094,2
Restaurant manager,Transportation,Increasing,Moderate,118668.0,Associate Degree,17,9393,7058,33.53,70.91,India,52.97,2,0.4374101312605554,2
Chemical engineer,Healthcare,Decreasing,Low,63271.86,Master’s Degree,17,4114,7388,70.21,19.86,Brazil,54.1,2,0.4374002789855857,0
Archivist,Manufacturing,Decreasing,Moderate,61573.08,High School,6,7973,6457,74.19,76.53,USA,45.1,2,0.4373801722101937,2
Psychiatrist,Retail,Decreasing,Low,140384.05,Associate Degree,13,6572,1888,93.13,13.74,UK,48.72,2,0.4373692299598978,0
Armed forces operational officer,IT,Decreasing,Moderate,71047.82,Bachelor’s Degree,9,870,9122,7.75,43.24,Canada,60.99,2,0.43736351322260186,1
"Designer, blown glass/stained glass",Healthcare,Increasing,Moderate,44482.8,High School,10,4878,4666,16.17,73.63,Germany,72.31,2,0.4373630986215743,2
Commercial horticulturist,IT,Increasing,Moderate,127258.95,Master’s Degree,11,2919,5862,39.28,38.96,Canada,36.26,2,0.43732472792171034,1
"Engineer, manufacturing",IT,Decreasing,High,77491.34,Master’s Degree,16,4220,4023,51.73,26.0,Canada,63.32,2,0.4373222301332911,0
"Geologist, wellsite",Retail,Decreasing,Low,37934.15,Bachelor’s Degree,10,2065,9736,72.07,35.98,USA,58.93,2,0.4372967416527494,1
Lexicographer,Entertainment,Increasing,Low,55760.02,Associate Degree,12,503,1346,67.15,96.86,Australia,75.13,2,0.4372921215670925,2
Hydrographic surveyor,Manufacturing,Decreasing,Low,99021.36,Master’s Degree,12,1331,364,13.74,99.09,China,58.38,2,0.43727011284293343,2
Travel agency manager,Entertainment,Decreasing,High,108910.63,Associate Degree,19,2607,6421,33.36,71.44,Australia,59.25,2,0.4372626782934374,2
"Copywriter, advertising",Entertainment,Decreasing,Low,72284.57,Bachelor’s Degree,15,8560,8195,86.63,31.11,USA,44.01,2,0.4372486133912745,1
Diplomatic Services operational officer,Transportation,Increasing,Moderate,48344.94,High School,11,2700,4070,48.17,31.98,India,36.31,2,0.4372379929025248,1
Furniture designer,Manufacturing,Decreasing,High,71723.87,Bachelor’s Degree,16,3179,9402,96.8,58.85,Germany,75.3,2,0.4372260620039682,1
Market researcher,Healthcare,Increasing,Moderate,138225.34,Bachelor’s Degree,5,1922,890,33.12,81.58,Brazil,33.05,2,0.4372258380203339,2
"Horticulturist, amenity",Finance,Decreasing,Moderate,134253.96,Bachelor’s Degree,15,3856,3310,6.9,67.79,Canada,44.28,2,0.43722421751165474,2
Logistics and distribution manager,Entertainment,Decreasing,Low,43202.18,Bachelor’s Degree,1,6551,4194,75.45,81.56,Brazil,20.49,2,0.43720893555685525,2
Barrister,IT,Increasing,High,145407.8,Master’s Degree,11,5905,2872,80.67,25.51,Germany,76.25,2,0.4371787775512396,0
Film/video editor,Retail,Increasing,Low,32174.91,Master’s Degree,6,1582,5215,39.83,99.04,UK,52.92,2,0.4371778498702489,2
Amenity horticulturist,Retail,Increasing,Moderate,92730.83,Bachelor’s Degree,10,7857,2147,51.54,71.54,India,64.6,2,0.4371520716655312,2
Secretary/administrator,Finance,Increasing,Moderate,72436.99,High School,0,3530,7892,5.59,50.27,Germany,25.65,2,0.43712720482332207,1
Advertising copywriter,Finance,Decreasing,High,92443.95,Master’s Degree,16,6965,5257,64.86,20.47,Australia,71.03,2,0.4371195679074028,0
"Runner, broadcasting/film/video",IT,Increasing,Moderate,93097.01,High School,15,5558,2752,73.49,90.38,USA,49.07,2,0.4371145195255512,2
"Nurse, mental health",Education,Increasing,Moderate,108425.03,Associate Degree,4,5471,8933,21.22,7.01,China,64.38,2,0.4371027446226771,0
Radiation protection practitioner,Transportation,Decreasing,Moderate,44261.67,Associate Degree,19,856,5411,78.09,68.68,Brazil,79.11,2,0.4370977132603075,2
Event organiser,Healthcare,Increasing,High,68239.34,Associate Degree,5,5188,5726,60.23,46.52,USA,61.3,2,0.4370405829990779,1
Health promotion specialist,Finance,Increasing,Moderate,58578.91,Associate Degree,4,3558,413,68.71,73.42,UK,59.96,2,0.43703774548037727,2
"Teacher, primary school",Healthcare,Decreasing,Low,70708.7,Associate Degree,7,8746,6779,49.03,15.94,Brazil,39.84,2,0.4369935553381957,0
Energy manager,Retail,Decreasing,High,76472.98,High School,6,769,5329,41.68,42.32,Brazil,59.81,2,0.4369708606584176,1
Microbiologist,Manufacturing,Increasing,Moderate,75233.89,Associate Degree,3,4466,1829,86.87,41.04,Germany,53.57,2,0.4369563031322697,1
Geochemist,Entertainment,Decreasing,Moderate,52806.44,Associate Degree,10,9437,3209,7.6,83.94,USA,65.48,2,0.4369373930530854,2
"Designer, jewellery",Retail,Increasing,Moderate,127964.21,High School,19,5694,3346,4.85,64.77,Australia,50.88,2,0.4368966605447597,2
Arboriculturist,Finance,Increasing,Low,74445.13,High School,11,1574,7745,26.64,8.79,UK,29.32,2,0.43687880845689137,0
Secretary/administrator,Manufacturing,Increasing,Low,54242.18,Associate Degree,20,940,5589,53.75,37.59,Australia,50.67,2,0.4368755388862668,1
Chartered accountant,IT,Decreasing,Moderate,71862.56,Associate Degree,14,9604,5306,44.95,22.27,USA,62.05,2,0.4368359410800734,0
"Investment banker, operational",Finance,Increasing,Low,110374.58,Master’s Degree,0,6136,3404,49.86,40.8,India,49.67,2,0.4368334678887797,1
"Designer, multimedia",Education,Decreasing,Moderate,125707.11,High School,0,834,5367,6.39,18.43,Brazil,29.5,2,0.4368147443076401,0
Artist,Healthcare,Decreasing,Low,89375.24,PhD,1,1868,2012,42.4,88.51,UK,36.05,2,0.43678420713006266,2
Medical technical officer,Education,Increasing,Moderate,98785.71,High School,0,3549,5244,85.74,72.0,Germany,27.6,2,0.43673792065718653,2
Broadcast journalist,Healthcare,Increasing,High,111122.42,PhD,18,1988,3240,47.45,55.06,USA,35.91,2,0.4367228098667631,1
Estate manager/land agent,IT,Increasing,Low,71954.17,Master’s Degree,14,9441,5551,78.7,66.72,Brazil,24.99,2,0.4367174782175178,2
Medical physicist,IT,Increasing,Low,85629.82,Associate Degree,17,3417,6027,62.91,58.09,Brazil,67.86,2,0.436712937082285,1
Cytogeneticist,Entertainment,Increasing,Moderate,93049.19,Master’s Degree,4,9601,9127,24.36,90.92,Australia,32.94,2,0.43669953022703434,2
Product/process development scientist,Transportation,Decreasing,High,89845.69,PhD,11,4464,4516,14.64,4.02,Australia,59.0,2,0.43668030305611255,0
Applications developer,Manufacturing,Decreasing,Low,90125.08,Bachelor’s Degree,15,864,3725,18.42,9.33,China,55.83,2,0.4366717632894515,0
"Engineer, mining",Healthcare,Decreasing,Low,115731.01,PhD,12,6625,5265,96.13,78.58,China,22.78,2,0.4366689205249538,2
Hydrologist,Education,Decreasing,High,110652.85,High School,19,1087,5003,18.6,24.74,Australia,66.79,2,0.43664896314802365,0
Acupuncturist,Healthcare,Increasing,Low,70523.22,High School,10,6868,2635,71.41,99.45,USA,54.89,2,0.4366297473477815,2
Science writer,Transportation,Increasing,Low,135781.06,High School,10,3551,7181,52.57,46.79,UK,66.23,2,0.43661017173818545,1
Trade union research officer,Healthcare,Increasing,High,72040.66,Bachelor’s Degree,14,9865,3276,96.52,50.96,Brazil,45.56,2,0.4365001960197264,1
"Teacher, secondary school",IT,Decreasing,High,128615.71,High School,18,309,6382,36.94,13.34,Canada,66.88,2,0.43648457080580044,0
Photographer,Entertainment,Increasing,Low,117919.13,Bachelor’s Degree,4,9316,8723,14.41,73.48,Germany,23.49,2,0.4364770275266422,2
"Administrator, local government",Healthcare,Decreasing,Low,38808.48,High School,3,7999,762,76.62,88.23,Germany,34.06,2,0.4364759579796585,2
Human resources officer,Entertainment,Decreasing,Moderate,83123.17,High School,15,3508,3529,23.2,66.12,China,60.77,2,0.4364752273921707,2
"Surveyor, building",Finance,Increasing,Low,83492.08,PhD,9,3155,1107,71.87,68.54,Brazil,48.76,2,0.43646998070661785,2
Software engineer,Entertainment,Increasing,Low,145905.24,High School,9,5716,8363,68.29,91.69,Brazil,56.84,2,0.43642680142068335,2
Community arts worker,Finance,Increasing,High,93021.78,Associate Degree,7,8104,2159,23.33,85.26,Germany,61.46,2,0.4364248881272404,2
"Engineer, control and instrumentation",Entertainment,Decreasing,High,66229.61,PhD,6,4385,4210,65.28,13.75,Canada,47.55,2,0.43641917578523387,0
Dealer,Transportation,Increasing,Moderate,97777.96,PhD,9,5966,4271,38.23,99.09,India,69.5,2,0.4364181839382127,2
Quantity surveyor,Retail,Increasing,High,135846.52,High School,7,5389,5434,2.44,92.44,Germany,37.17,2,0.4364086081167543,2
Network engineer,IT,Increasing,High,68285.8,Master’s Degree,6,3109,9551,52.57,46.67,Germany,54.87,2,0.43637746176738273,1
Chemical engineer,Retail,Decreasing,Moderate,73435.31,PhD,0,8155,3740,58.8,64.23,UK,68.22,2,0.43637534840001546,2
"Accountant, chartered public finance",Healthcare,Increasing,Moderate,120735.87,Associate Degree,7,5333,525,31.69,35.43,Australia,73.95,2,0.43634635234439756,1
Pharmacologist,Transportation,Increasing,Moderate,76425.35,High School,11,2527,8722,33.05,46.67,Brazil,73.36,2,0.4363065602922546,1
"Engineer, site",Retail,Increasing,Low,116678.27,Bachelor’s Degree,14,8470,3176,56.75,44.74,India,55.93,2,0.436278905600423,1
Counsellor,Education,Increasing,Moderate,42349.82,High School,10,8980,1571,21.91,78.8,China,33.55,2,0.4362685976109638,2
Risk manager,Manufacturing,Increasing,Low,41669.69,Bachelor’s Degree,20,2599,8532,45.27,33.11,China,20.03,2,0.4362637564586855,1
Minerals surveyor,Entertainment,Increasing,Low,70928.09,Associate Degree,9,4858,9691,92.51,22.58,USA,63.9,2,0.43625013055582695,0
Land,Transportation,Increasing,Moderate,75040.1,Bachelor’s Degree,13,8027,3607,58.39,79.76,UK,52.81,2,0.43621460035614207,2
Contracting civil engineer,Healthcare,Increasing,Moderate,73248.68,Bachelor’s Degree,15,6311,6229,11.04,6.44,UK,42.63,2,0.43621108417743726,0
Geophysical data processor,IT,Increasing,High,101888.19,Bachelor’s Degree,19,226,8568,8.57,29.27,Germany,51.55,2,0.4362076406579881,0
"Scientist, biomedical",Entertainment,Increasing,Moderate,135524.59,Master’s Degree,2,4231,4842,83.89,36.92,Germany,76.41,2,0.4362070464485925,1
"Chemist, analytical",Finance,Decreasing,High,140436.65,Master’s Degree,14,8895,1545,21.0,46.96,USA,39.65,2,0.43620345224256246,1
Architect,Healthcare,Decreasing,High,83030.84,PhD,7,8129,5603,86.75,37.28,Germany,79.87,2,0.43619360793107015,1
"Engineer, production",Retail,Decreasing,Moderate,109690.52,Bachelor’s Degree,11,2264,6488,77.7,96.73,Brazil,23.69,2,0.4361924526598067,2
"Surveyor, mining",IT,Decreasing,Low,107078.92,Associate Degree,2,9687,7646,50.79,88.32,Canada,43.15,2,0.4361210158761205,2
Trade mark attorney,Manufacturing,Decreasing,Moderate,121660.28,Master’s Degree,8,2608,3203,93.93,92.02,Australia,67.38,2,0.4361134198136797,2
"Surveyor, insurance",Entertainment,Decreasing,Low,135025.03,Associate Degree,3,6605,6983,40.61,22.07,USA,56.34,2,0.4360911663326828,0
Public affairs consultant,Manufacturing,Increasing,Low,94535.45,Master’s Degree,10,5414,4975,13.77,60.79,India,42.55,2,0.43607620449699463,2
Conference centre manager,Finance,Decreasing,High,137647.87,Master’s Degree,0,8419,1534,34.92,93.74,UK,71.21,2,0.4360422394021661,2
Psychiatric nurse,Healthcare,Increasing,Low,67636.07,PhD,19,4413,7984,34.52,75.36,UK,42.63,2,0.43602654453442735,2
Facilities manager,Finance,Decreasing,High,107800.6,Master’s Degree,2,1100,9319,90.8,28.49,Canada,65.01,2,0.4360196259865683,0
Estate agent,Manufacturing,Increasing,Moderate,105960.79,PhD,19,9005,3252,7.04,92.71,Australia,55.24,2,0.43601502066650816,2
Neurosurgeon,Retail,Decreasing,High,142638.84,High School,8,5172,7481,79.38,81.21,Germany,79.47,2,0.43600857053017444,2
Tour manager,Finance,Decreasing,Low,90086.62,PhD,9,9057,8861,9.27,10.17,USA,69.87,2,0.4360069685533102,0
Museum/gallery curator,Retail,Increasing,Moderate,145680.75,Bachelor’s Degree,16,3608,4299,10.35,7.09,Canada,48.94,2,0.43599560162991613,0
Associate Professor,Entertainment,Increasing,High,49830.56,Bachelor’s Degree,18,4035,4885,60.51,64.12,Australia,40.48,2,0.4359892054216661,2
Media planner,Education,Decreasing,Moderate,46953.61,Bachelor’s Degree,9,7294,4595,29.12,40.71,UK,28.34,2,0.43598053342247695,1
Financial manager,Transportation,Decreasing,High,99734.55,Associate Degree,16,2032,5810,74.67,94.21,Brazil,37.48,2,0.43597728831989147,2
Chiropodist,IT,Decreasing,Low,140874.82,Associate Degree,7,6891,5320,72.12,97.57,UK,55.97,2,0.4359674848175544,2
Research scientist (life sciences),Finance,Decreasing,Moderate,51609.26,PhD,9,2408,3186,12.39,59.2,Canada,20.34,2,0.43595961599393,1
Theatre director,Finance,Increasing,Low,123348.76,Bachelor’s Degree,13,1335,9040,14.44,53.09,Canada,30.56,2,0.4359375744571586,1
Television/film/video producer,Education,Increasing,High,66662.36,PhD,17,8467,8689,9.33,49.24,Australia,50.23,2,0.43592537931783437,1
IT technical support officer,Manufacturing,Increasing,Low,95616.77,Associate Degree,6,7516,6516,91.88,91.76,USA,62.17,2,0.4359014496619209,2
Historic buildings inspector/conservation officer,IT,Increasing,Low,56777.24,Bachelor’s Degree,0,7743,4617,70.45,76.82,UK,41.39,2,0.43589864081134266,2
Medical illustrator,IT,Decreasing,Low,76843.93,Master’s Degree,5,4230,2801,28.77,80.22,Germany,51.15,2,0.435881254676523,2
Colour technologist,Transportation,Decreasing,High,124008.02,PhD,3,2507,8885,40.86,36.32,Germany,43.25,2,0.43586149471021074,1
Public relations account executive,Manufacturing,Increasing,Low,51231.74,Master’s Degree,6,7020,8406,48.24,68.34,UK,73.67,2,0.4358611505040285,2
Nature conservation officer,Transportation,Increasing,High,50218.17,High School,3,6789,9232,17.08,61.87,India,34.98,2,0.43585758247523926,2
Accounting technician,Education,Decreasing,High,92759.03,PhD,7,1132,3960,83.93,38.38,India,59.23,2,0.43584249734382574,1
"Lighting technician, broadcasting/film/video",IT,Increasing,High,79665.85,Associate Degree,1,758,9663,86.47,57.65,Canada,63.49,2,0.43582451322496246,1
"Lighting technician, broadcasting/film/video",Healthcare,Decreasing,Moderate,146034.01,Bachelor’s Degree,9,1389,9846,38.59,19.83,Canada,67.18,2,0.43582434521870766,0
"Surveyor, building",Education,Decreasing,Moderate,107730.03,High School,6,6867,4124,50.71,15.51,China,26.9,2,0.4358124454824857,0
Energy engineer,Finance,Increasing,Low,79510.66,High School,17,1805,5397,56.19,57.15,India,41.3,2,0.43581177194568993,1
"Engineer, broadcasting (operations)",Healthcare,Increasing,High,60750.9,Bachelor’s Degree,8,4857,7305,1.7,64.11,Germany,69.24,2,0.43581140645424665,2
"Scientist, physiological",IT,Increasing,High,62525.33,Master’s Degree,18,5412,4792,65.15,91.17,Canada,22.92,2,0.435800418738445,2
Scientific laboratory technician,Retail,Decreasing,Moderate,145661.79,Associate Degree,3,5757,6798,6.3,93.72,Brazil,46.06,2,0.4357815491139008,2
"Engineer, production",Healthcare,Increasing,Moderate,141227.97,Bachelor’s Degree,0,2361,3831,73.35,84.86,China,54.46,2,0.43577576461806117,2
Police officer,Entertainment,Decreasing,Moderate,72454.55,Master’s Degree,9,5006,1242,88.59,12.23,India,47.28,2,0.4357696639026622,0
Film/video editor,Healthcare,Decreasing,High,30766.89,High School,13,1032,4313,26.73,74.65,India,56.8,2,0.43576708975481226,2
Technical sales engineer,Transportation,Increasing,Low,114426.05,PhD,14,3455,2674,71.24,73.72,UK,58.15,2,0.43576222409899673,2
"Horticulturist, commercial",Healthcare,Decreasing,Moderate,108393.46,Associate Degree,12,6524,7857,94.89,40.4,India,73.15,2,0.43575214370087184,1
"Designer, fashion/clothing",Education,Decreasing,Low,117563.09,Associate Degree,17,7881,1651,74.07,30.85,Australia,21.95,2,0.43574862348171056,1
Probation officer,Healthcare,Increasing,Low,139994.65,Bachelor’s Degree,9,4834,8759,49.95,98.39,China,74.45,2,0.4357408596893441,2
Cabin crew,Retail,Decreasing,High,86509.69,High School,2,9692,3630,44.35,99.67,USA,27.83,2,0.43572562585625174,2
"Surveyor, hydrographic",Healthcare,Decreasing,High,30607.13,High School,7,9034,4220,19.46,93.56,Brazil,40.23,2,0.43572094195740124,2
Therapeutic radiographer,Manufacturing,Decreasing,High,143293.99,PhD,11,4971,6096,73.42,96.93,Germany,40.89,2,0.4357061250699294,2
Interpreter,Retail,Decreasing,Low,51062.92,Bachelor’s Degree,7,8873,8085,91.64,35.62,Canada,75.36,2,0.4356785404840393,1
TEFL teacher,Finance,Decreasing,Low,102483.65,Bachelor’s Degree,11,9193,8350,85.14,94.15,China,72.24,2,0.4356727171361866,2
Futures trader,Finance,Decreasing,Low,136726.72,PhD,16,2745,1473,61.66,41.28,Canada,79.71,2,0.4356414280528499,1
Telecommunications researcher,Healthcare,Decreasing,High,132272.33,Bachelor’s Degree,19,3753,3135,93.83,84.08,Germany,52.64,2,0.4356371554753024,2
"Surveyor, building",Finance,Decreasing,High,70726.62,PhD,0,5789,1600,72.52,34.96,China,37.24,2,0.43563030486424187,1
"Education officer, community",IT,Increasing,Low,58584.3,High School,10,611,7337,37.34,48.09,Brazil,30.39,2,0.4356228066815021,1
Charity officer,Entertainment,Increasing,High,68239.98,PhD,11,3487,7247,13.3,83.15,India,36.35,2,0.4356210059089271,2
Herpetologist,Retail,Decreasing,Low,112730.61,High School,0,1121,2151,79.45,64.65,Brazil,30.27,2,0.435619367293872,2
Archivist,Healthcare,Decreasing,Moderate,108003.92,Associate Degree,2,4420,711,14.56,21.83,Canada,49.21,2,0.43559538222826993,0
Youth worker,Manufacturing,Decreasing,Low,128963.25,Bachelor’s Degree,7,8578,6795,69.85,81.09,USA,31.58,2,0.4355889999202489,2
Water engineer,Healthcare,Increasing,Moderate,113477.32,Associate Degree,10,6039,7789,98.64,44.24,Canada,49.42,2,0.43554280315689753,1
Systems developer,Finance,Increasing,High,83511.06,Master’s Degree,9,6150,9596,75.23,20.0,USA,69.36,2,0.4355243257393342,0
Catering manager,IT,Increasing,High,132525.42,PhD,17,221,5430,46.88,69.28,China,40.76,2,0.4355160889882299,2
"Surveyor, building",Education,Decreasing,High,79844.81,Associate Degree,4,5999,6302,68.75,73.08,Australia,46.85,2,0.43550467065300835,2
Engineering geologist,Retail,Decreasing,Moderate,141310.18,High School,17,5618,5146,46.62,50.15,Australia,59.15,2,0.43549320003240216,1
Clothing/textile technologist,Healthcare,Increasing,Moderate,33239.06,PhD,18,3058,7718,73.62,21.09,Australia,42.74,2,0.4354674956623967,0
"Engineer, materials",Healthcare,Decreasing,High,128939.27,Bachelor’s Degree,3,4674,940,90.24,35.11,Australia,69.63,2,0.43544149266528565,1
Theatre manager,Healthcare,Increasing,High,88689.33,High School,10,627,2980,30.19,24.5,Australia,43.95,2,0.4354370796522616,0
"Designer, multimedia",Retail,Decreasing,Low,107409.07,Bachelor’s Degree,9,4701,2378,30.81,40.54,Canada,67.87,2,0.43542788789954784,1
"Engineer, materials",Education,Increasing,Low,138661.8,PhD,1,565,1946,27.69,52.11,China,47.58,2,0.43540313660353946,1
Ambulance person,Education,Decreasing,Low,55850.17,Associate Degree,8,4627,6828,37.55,36.64,India,75.43,2,0.43538324132230755,1
Research scientist (maths),Healthcare,Increasing,Low,148082.0,Associate Degree,9,6175,2609,21.68,94.93,Canada,53.89,2,0.43537901523720635,2
Adult nurse,Education,Decreasing,Low,68014.47,High School,10,3672,3761,74.23,71.65,Australia,26.58,2,0.43537293166911223,2
Herbalist,Entertainment,Increasing,Moderate,147972.57,High School,20,5797,6362,81.73,47.01,Brazil,52.46,2,0.43536624851425487,1
Solicitor,Retail,Increasing,High,106332.7,Associate Degree,14,8425,7042,22.2,84.87,Canada,78.87,2,0.4353649145424115,2
"Scientist, research (maths)",Manufacturing,Decreasing,High,55444.16,Master’s Degree,17,759,8967,81.91,39.65,China,56.76,2,0.43534123387180684,1
Science writer,Transportation,Decreasing,Moderate,53189.78,Bachelor’s Degree,19,4575,4787,73.47,44.73,India,66.37,2,0.4353255590719937,1
Interpreter,Education,Increasing,Moderate,100364.95,High School,9,3614,7433,83.06,9.25,UK,57.36,2,0.4353017642355669,0
"Lecturer, further education",Entertainment,Decreasing,High,136688.93,High School,5,7479,1129,25.2,86.84,India,65.91,2,0.43527435236772405,2
Advice worker,IT,Increasing,Moderate,81115.67,Bachelor’s Degree,4,8112,4815,40.85,99.48,Brazil,45.71,2,0.43525999009927535,2
Estate agent,Transportation,Decreasing,Moderate,113254.75,Bachelor’s Degree,12,4394,4971,1.1,67.06,USA,41.43,2,0.4352592672941811,2
"Merchandiser, retail",Transportation,Decreasing,High,64009.92,Bachelor’s Degree,11,4256,3743,54.02,22.89,India,50.42,2,0.43525789136133913,0
Corporate investment banker,Finance,Increasing,Moderate,64241.84,High School,7,780,3991,27.33,73.55,India,43.01,2,0.4352558023207263,2
Corporate investment banker,IT,Decreasing,High,85632.05,Master’s Degree,15,3617,6863,52.06,54.46,Germany,47.94,2,0.4352302665270186,1
"Engineer, site",Entertainment,Increasing,High,137159.55,Bachelor’s Degree,10,7319,6911,50.64,29.64,UK,49.9,2,0.43519961021853315,0
Social worker,Finance,Increasing,Low,121088.0,Associate Degree,14,9456,3672,13.51,46.7,Australia,45.81,2,0.4351990009735013,1
Glass blower/designer,Education,Increasing,High,144263.55,Master’s Degree,12,8699,9188,54.59,42.41,Brazil,26.63,2,0.4351933034642816,1
"Therapist, nutritional",IT,Increasing,Moderate,115103.52,Bachelor’s Degree,4,5436,5512,52.38,4.39,USA,51.84,2,0.43518853680238506,0
"Psychologist, counselling",Healthcare,Decreasing,Low,58601.43,Master’s Degree,13,4977,643,88.28,21.5,USA,74.98,2,0.4351848756757013,0
"Therapist, occupational",Healthcare,Increasing,Low,87696.0,Master’s Degree,0,4118,6062,69.79,81.66,China,37.25,2,0.43516399733197875,2
"Therapist, art",Transportation,Increasing,Moderate,60696.71,High School,11,4766,2348,68.76,85.88,India,65.51,2,0.4351386093559963,2
Advertising art director,Retail,Decreasing,Low,36332.32,High School,20,2194,5150,10.74,99.91,Germany,47.34,2,0.4351204864258552,2
Financial risk analyst,Manufacturing,Decreasing,Low,89665.82,Associate Degree,8,1283,8719,31.93,32.62,Germany,29.9,2,0.4351188604938954,1
Human resources officer,Education,Increasing,Low,127901.37,PhD,2,8994,4536,26.27,85.84,USA,66.67,2,0.43509129259282947,2
Human resources officer,Finance,Increasing,High,123357.67,Associate Degree,1,7282,6978,4.02,82.02,Canada,48.83,2,0.43506657373854773,2
Exercise physiologist,Finance,Increasing,Low,36146.81,Associate Degree,11,4482,8722,72.62,20.77,Canada,39.03,2,0.435047307085723,0
Pharmacologist,Education,Increasing,Moderate,89788.87,Associate Degree,0,3127,3701,72.77,74.2,USA,43.67,2,0.4350387094306711,2
Materials engineer,Finance,Increasing,Moderate,119285.67,Master’s Degree,19,3614,1085,47.37,66.7,UK,53.88,2,0.4350329942903709,2
Sport and exercise psychologist,Entertainment,Decreasing,High,50839.91,PhD,16,3479,5093,50.37,91.99,China,42.21,2,0.43502109460808197,2
Recycling officer,Transportation,Decreasing,Moderate,90923.41,High School,0,7118,381,55.42,76.24,UK,20.37,2,0.4350152388859754,2
Corporate investment banker,IT,Decreasing,High,120427.28,Master’s Degree,7,6782,1197,98.06,72.72,Germany,68.48,2,0.4349996720709476,2
Diplomatic Services operational officer,IT,Decreasing,Moderate,43592.16,High School,4,5268,5660,0.05,54.8,China,74.54,2,0.43497218162954276,1
Barista,Healthcare,Increasing,High,114547.18,Bachelor’s Degree,15,2229,7686,70.04,24.76,Canada,30.22,2,0.43496983986619564,0
Insurance risk surveyor,Education,Increasing,High,63326.58,High School,4,1306,9446,15.43,79.5,UK,23.4,2,0.43496717440035076,2
"Chemist, analytical",Finance,Decreasing,Low,34237.03,High School,8,5876,5370,76.83,62.99,Canada,73.56,2,0.4349232443226536,2
Maintenance engineer,Healthcare,Decreasing,High,101099.47,Associate Degree,1,5229,6043,1.51,30.28,Australia,61.24,2,0.4349218915427416,1
Broadcast presenter,Transportation,Increasing,Low,116703.58,PhD,10,6466,9775,22.13,67.26,Australia,29.71,2,0.43492080296477964,2
Artist,Finance,Decreasing,Moderate,66363.67,Master’s Degree,17,3309,3501,59.56,92.0,UK,44.95,2,0.4349184693440333,2
Physiotherapist,Education,Decreasing,Low,52313.88,Associate Degree,13,6968,1072,84.94,68.11,Australia,30.99,2,0.43491687274077623,2
Rural practice surveyor,IT,Decreasing,Moderate,111275.3,Bachelor’s Degree,3,2003,6879,18.3,20.5,Canada,75.65,2,0.4349082285325569,0
Furniture designer,IT,Increasing,Low,108560.33,High School,3,8271,7497,28.95,92.45,Canada,39.45,2,0.43490098339519945,2
Retail merchandiser,Entertainment,Increasing,High,39895.91,Bachelor’s Degree,1,6806,6780,62.26,31.83,Brazil,69.75,2,0.43490095102000964,1
Chartered management accountant,Entertainment,Increasing,Low,51059.37,Associate Degree,16,2077,9174,51.4,63.03,India,32.84,2,0.4348947508950794,2
"Pharmacist, hospital",Retail,Decreasing,Moderate,58873.97,High School,2,2172,4536,20.29,62.85,India,22.19,2,0.4348728968545567,2
"Engineer, production",Finance,Decreasing,Moderate,55708.21,Master’s Degree,4,2141,9027,25.76,47.37,Australia,51.05,2,0.43486914588580705,1
"Runner, broadcasting/film/video",Healthcare,Increasing,Low,122054.65,Master’s Degree,6,4839,7212,20.88,87.15,Australia,67.27,2,0.4348107234354249,2
Ship broker,Transportation,Increasing,High,100858.39,Bachelor’s Degree,0,8175,9560,73.71,83.51,India,46.46,2,0.434795604146506,2
Information officer,Manufacturing,Increasing,High,124622.16,Associate Degree,5,8855,7394,24.54,81.42,Australia,66.3,2,0.4347812794250037,2
Transport planner,Entertainment,Increasing,High,141464.83,PhD,7,3797,5201,18.57,74.74,Australia,51.83,2,0.4347627033854717,2
Lobbyist,Education,Decreasing,Moderate,51785.43,Bachelor’s Degree,9,5949,1875,11.49,72.62,Australia,70.14,2,0.43476127157244726,2
Materials engineer,IT,Increasing,Low,114603.43,Master’s Degree,4,8866,3103,67.12,3.51,Canada,35.27,2,0.4347525246725659,0
Media planner,Manufacturing,Increasing,Moderate,80355.51,Master’s Degree,16,6843,2638,56.28,61.65,Germany,50.75,2,0.43473745983398554,2
